Word count of material used ,Cross-checked,Entered in axon-dendrite spreadsheet,Altered,ReferenceID,CellType,Material Used,Location in reference,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,PMCID,Notes,Replaced,CellType Proofreadby,CellType Proofreaddate,CellType Unique ID,Figure filename,A-D check
129,JR,,RW,611954,EC (+)000333p-SUB 111 multipolar neurons V/VI (MPN V-VI),"""Recordings included [entorhinal cortex] multipolar principal neurons (N = 10; preweaned N = 6, postweaned N = 4).  The morphology indicates that a subgroup of multipolar neurons does not have similarly sized dendrites spreading in all directions, but instead has one major dendrite heading in direction of the subiculum (Fig. 9A; preweaned N = 2, postweaned N = 1).  They look like tilted pyramidal neurons.  In Figure 9B these two subgroups were grouped together as tilted pyramidal to multipolar neurons.  The spiny dendrites of these neurons spread within LV [layer V] reaching a diameter of up to 700 microm and reach LVI [layer VI] as well (N = 5).  They further have a prominent axonal plexus within LV, LVI, and the white matter.  Collaterals in superficial layers are sparse.""","p1267, left top","EC (+)000333p-SUB 111 multipolar neurons V/VI (MPN V-VI)

[Y:EC:multipolar V:S:EC:V]{#3},
<major dendrite in direction of the subiculum>,
[Y:EC:multipolar V:D:EC:V_VI]{#4},
[Y:EC:multipolar V:A:EC:V]{#3},
<axons reach VI; penetration not mentioned>,
<axonal plexus in the white matter>
<spiny>","Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,not free,,,,,,,DWW
155,JR,,RW,611956,"LEC (+)001133 multipolar neurons-2 VI (MPN-2 VI), EC (+)000333p-SUB 111 multipolar neurons V/VI (MPN V-VI)","""We recorded from putative principal neurons in middle and deep [entorhinal cortex] LVI [layer VI] that have either a multipolar morphology, with sparsely spiny to spiny dendrites facing all directions (N = 7; preweaned N = 4, postweaned N = 3) or a pyramidal-like morphology with the main sparsely spiny to spiny apical dendrite not facing towards superficial LEC [lateral entorhinal cortex] layers but towards the subiculum or parallel to the pial surface (Figs. 10A, B; N = 7; preweaned N = 4, postweaned N = 3).  The dendritic tree of multipolar and tilted pyramidal principal neurons can reach LV [layer V], LVI [layer VI], the white matter and the subiculum, having a diameter of up to 700 microm horizontally.  The axons of those neurons reach the white matter, bifurcate within LVI, LV and can travel towards superficial LIII [layer III], LII [layer II] and LI [layer I] staying within the proximity of the neuron.""","p1267, right mid","LEC (+)001133 multipolar neurons-2 VI (MPN-2 VI)

<Fig. 10A multipolar neuron is P22>,
<N = 3 postweaned>,
[Y:EC:multipolar-2 VI:S:EC:VI]{#3},
[Y:EC:multipolar-2 VI:D:EC:V_VI]{#4},
[Y:EC:multipolar-2 VI:A:EC:V_VI]{#3},
[Y:EC:multipolar VI:D:SUB:unspecified]{#4}
<speculate subiculum invasion is in SP>,
<axons and dendrites can reach white matter>, 

EC (+)000333p-SUB 111 multipolar neurons V/VI (MPN V-VI)

<speculate subiculum invasion is in SP>,
[Y:EC:MPN-pyr VI:S:EC:VI]{#3},
[Y:EC:MPN-pyr VI:D:EC:V_VI]{#4},
[Y:EC:MPN-pyr VI:A:EC:V_VI]{#3},
[Y:EC:MPN-pyr VI:D:SUB:unspecified]{#4}","Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,not free,,,,,,,DWW
49,JR,,RW,611958,"EC (+)231000 fan-oblique pyramidal-multipolar-pyramidal (FOMP), EC (+) 331000p-DG1000-SUB101 excitatory II neurons (AKA fan2 II), EC (+)233111 pyramidal cells-multiform cells II (PC-MFC II), EC (+)333000p-DG 1000-SUB 111 excitatory (AKA pyramidal 2 II, pyramidal 1 II), EC (+)231000 fan-oblique pyramidal-multipolar-pyramidal (FOMP)","""FIGURE 7.  Morphology and physiology of LEC [lateral entorhinal cortex] LII [layer II] principal neurons.  (A) From left to right, Neurolucida drawings of two typical pyramidal (P22 and P20), one typical oblique pyramidal (P18), two fan (P25 and P22), and one typical multiform LII [layer II] principal neuron (P16)."" ","p1267, Fig. 7","EC (+)231000 fan-oblique pyramidal-multipolar-pyramidal (FOMP)

<cell #2, N = 3 preweaned>,
[Y:EC:Pyr II:S:EC:II]{#1},
[Y:EC:Pyr II:D:EC:I_II]{#1},
[Y:EC:Pyr II:A:EC:II_III]{#1}, 

EC (+) 331000p-DG1000-SUB101 excitatory II neurons (AKA fan2 II)

<cell #5>
<A:IV less than 15%>,
[Y:LEC:fan2 II:S:LEC:II]{#3},
[Y:LEC:fan2 II:D:LEC:I_II]{#1},
[Y:LEC:fan2 II:A:LEC:I_II_III]{#1}, 

EC (+)233111 pyramidal cells-multiform cells II (PC-MFC II)

<cell #6>
<typical>,
[Y:LEC:multiform II:S:LEC:II]{#3},
[Y:LEC:multiform II:D:LEC:I_II_III]{#1},
[Y:LEC:multiform II:A:LEC:II_III_IV_V_VI]{#1}, 

EC (+)333000p-DG 1000-SUB 111 excitatory (AKA pyramidal 2 II, pyramidal 1 II)

<cell #1>
<typical>,
<axon into AB>,
[Y:LEC:pyramidal1 II:S:LEC:II]{#3},
[Y:LEC:pyramidal1 II:D:LEC:I_II_III]{#1},
[Y:LEC:pyramidal1 II:A:LEC:I_II_III]{#1}, 

EC (+)231000 fan-oblique pyramidal-multipolar-pyramidal (FOMP)

<cell #3 - ""Oblique pyramidal neuron"" (N = 8)>,
<typical>,
<A:IV is less than 15%>,
[Y:LEC:oblique pyramidal II:S:LEC:II]{#3},
[Y:LEC:oblique pyramidal II:D:LEC:I_II]{#1},
[Y:LEC:oblique pyramidal II:A:LEC:II_III]{#1}

<cell #4 - Left ""Fan neuron"">
<A:IV is less than 15%>,
[Y:LEC:fan1 II:S:LEC:II]{#3},
[Y:LEC:fan1 II:D:LEC:I_II]{#1},
[Y:LEC:fan1 II:A:LEC:II_III]{#1}","Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,not free,,,,,,,DWW
64,JR,,RW,611960,"EC (+)333000p-DG 1000-SUB 111 excitatory (AKA complex pyramidal III), LEC (+)113330 multipolar neurons III lateral (MPN III lat), EC complex pyramidal III 233310, EC Pyramidal III (+)223200p-CA1_1000-Sub_100","""FIGURE 8.  Morphology and physiology of LEC [lateral entorhinal cortex] LIII [layer III] principal neurons.  (A) From left to right, Neurolucida drawings of one simple pyramidal neuron (P22), two typical complex pyramidal neurons (P20 and P18) and two multipolar LIII [layer III] principal  neurons (P15 and P14).  Horizontal lines indicate borders between layers of LEC. Dendrites are represented in black and axons in red."" ","p1268, Fig. 8","EC complex pyramidal III 233310

<cell #2>
[Y:EC:complex pyramidal III:S:EC:III] {1},
[Y:EC:complex pyramidal III:D:EC:I_II_III_IV] {1},
[Y:EC:complex pyramidal III:A:EC:II_III_IV_V] {1}
<dendrites in layer V less than 15%>, 

EC Pyramidal III (+)223200p-CA1_1000-Sub_100

<cell #1>
[Y:EC:pyramidal III:S:EC:III]{1},
[Y:EC:pyramidal III:D:EC:I_II_III_IV]{1},
[Y:EC:pyramidal III:A:EC:III]{1}
<dendrites in LV <15%>
<axon in LI and LII does not meet 3-point rule, and text states collaterals in LIII and axon to angular bundle>, 

LEC (+)113330 multipolar neurons III lateral (MPN III lat)

<cell #4,#5>
[Y:EC:multipolar III:S:EC:III]{1},
[Y:EC:multipolar III:D:EC:III_IV_V]{1},
[Y:EC:multipolar III:A:EC:I_II_III_IV_V]{1}
<Text (p. 9) states axons to white matter>, 

EC (+)333000p-DG 1000-SUB 111 excitatory (AKA complex pyramidal III)

<cell #3>
[Y:EC:complex pyramidal III:S:EC:III]{1},
[Y:EC:complex pyramidal III:D:EC:I_II_III]{1},
[Y:EC:complex pyramidal III:A:EC:I_II_III]{1}
<axon into angular bundle>
<axons in LIV are borderline>","Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,not free,,,,,,,DWW
49,JR,,RW,611962,"LEC (+)001133 multipolar neurons-2 VI (MPN-2 VI), EC (+)000333p-SUB 111 multipolar neurons V/VI (MPN V-VI)","""FIGURE 10.  Morphology and physiology of LEC [lateral entorhinal cortex] LVI [layer VI] principal neurons.  (A) Neurolucida drawings of two multipolar to tilted pyramidal neurons (P24 and P22).  Horizontal lines indicate borders between layers of LEC.  Dendrites are represented in black and axons in red.  Scale bar: 200 microm."" ","p1270, Fig. 10","LEC (+)001133 multipolar neurons-2 VI (MPN-2 VI)

<cell #2, P22 = postweaned; N = 3>,
[Y:EC:multipolar-2 VI:S:EC:VI]{#3},
[Y:EC:multipolar-2 VI:D:EC:V_VI]{#1},
[Y:EC:multipolar-2 VI:A:EC:III_IV_V_VI]{#1}, 

EC (+)000333p-SUB 111 multipolar neurons V/VI (MPN V-VI)

<cell #1>
<dendrites and axons into white matter>,
[Y:EC:MPN-pyr VI:S:EC:VI]{#3},
[Y:EC:MPN-pyr VI:D:EC:V_VI]{#1},
[Y:EC:MPN-pyr VI:A:EC:V_VI]{#1}","Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,not free,,,,,,,DWW
79,JR,,RW,611964,"EC (+)223331 horizontal-bipolar-pyramidal (HOBIPPY), EC (+)000333p-SUB 111 multipolar neurons V/VI (MPN V-VI)","""FIGURE 9.  Morphology and physiology of LEC [lateral entorhinal cortex] LV [layer V] principal neurons.  (A) From left to right, Neurolucida drawings of one typical pyramidal neuron located in superficial LV (P25), one in deep LV (P17), one bipolar pyramidal neuron with one prominent horizontal basal dendrite (P19), and two tilted pyramidal-multipolar LV principal neurons (P19 and P18).  Horizontal lines indicate borders between layers of LEC.  Dendrites are represented in black and axons in red.  Scale bar: 200 microm."" ","p1270, Fig. 9","EC (+)000333p-SUB 111 multipolar neurons V/VI (MPN V-VI)

<cell #2,#4,#5>
<all 3 neurons boxed below interpreted as 000333>
<axons into white matter>,
[Y:EC:multipolar V:S:EC:V]{#3},
[Y:EC:multipolar V:D:EC:IV_V_VI]{#1},
[Y:EC:multipolar V:A:EC:IV_V_VI]{#1}, 

EC (+)223331 horizontal-bipolar-pyramidal (HOBIPPY)

<cell #1>
<typical superficial LV pyramidal>
[Y:EC:pyramidal V:S:EC:V]{#1},
[Y:EC:pyramidal V:D:EC:I_II_III_IV_V]{#1},
[Y:EC:pyramidal V:A:EC:III_IV_V_VI]{#1}
<axon in LII removed in collation to make entry consistent with cell type pattern>

<cell #3>
[Y:EC:pyramidal V:S:EC:V]{#1},
[Y:EC:pyramidal V:D:EC:I_II_III_IV_V]{#1},
[Y:EC:pyramidal V:A:EC:III_IV_V_VI]{#1}
<D:VI is borderline>
<axon to AB>","Canto CB, Witter MP",Cellular properties of principal neurons in the rat entorhinal cortex. I. The lateral entorhinal cortex,Hippocampus,2011,22162008,not free,,,,,,,DWW
147,AnK,2,AnK,611966,methods,"""Young  adult  male Sprague Dawley and Wistar rats weighing 90-200 g""","p7330, left top",<90-200 g young adult male Sprague Dawley and Wistar rats>,"Mercer A, Trigg HL, Thomson AM",Characterization of Neurons in the CA2 Subfield of the Adult Rat Hippocampus,The Journal of Neuroscience,2007,17611285,,,,,,,,DWW
191,AnK,,AnK,611968,methods,"""Slices 450-500 microm thick were""","p7330, left top",<450-500 microm slices>,"Mercer A, Trigg HL, Thomson AM",Characterization of Neurons in the CA2 Subfield of the Adult Rat Hippocampus,The Journal of Neuroscience,2007,17611285,,,,,,,,DWW
54,AnK,,AnK,611970,"CA2 (-)2232 basket cells (BC)
CA2 (-)2232p-CA3 00030-CA1 0030 basket cells projecting (BC proj)","""The dendrites of 15 CA1 and 18 CA2 basket cells (12 with wide and 6 with narrow dendritic arbors) were reconstructed, and their dendritic trees were analyzed in the same way as the pyramidal cells (Fig. 2).""","p7333, left mid","CA2 (-)2232 basket cells (BC)

<N = 6>

CA2 (-)2232p-CA3 00030-CA1 0030 basket cells projecting (BC proj)

<N = 12>","Mercer A, Trigg HL, Thomson AM",Characterization of Neurons in the CA2 Subfield of the Adult Rat Hippocampus,The Journal of Neuroscience,2007,17611285,,,,,,,,DWW
85,AnK,ak,AnK,611980,CA1 (-)1133 back projecting (BP) neurons,"""Back-projection (BP)  interneurons.  The cell was named for its extensive axon projecting  ""back""  to the  CA3 area and the hilus from the CA1 (Sik et al., 1994, 1995).""","p53, bot","CA1 (-)1133 back projecting (BP) neurons

[Y:CA1:back-projection:A:DG:H]{#3},
[Y:CA1:back-projection:A:CA3:unspecified]{#3}",Vida I,Morphology of Hippocampal Neurons,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,,main source,,,,,,DWW
80,AnK,ak,AnK,611982,CA1 (-)2100 interneuron specific-2 (IS-2) neurons,"""Type II (IS-II) cells express VIP [vasoactive intestinal polypeptide] and  innervate mainly  CCK[cholecystokinin]/VIP-positive basket cells. The soma is found  in str. radiatum, often at its upper border,  whereas  the dendrites mostly extend into the str. lacunosum-moleculare.""","p55, mid","CA1 (-)2100 interneuron specific-2 (IS-2) neurons

[Y:CA1:IS-II:S:CA1:SLM/SR]{#3},
[Y:CA1:IS-II:D:CA1:SLM]{#3}",Vida I,Morphology of Hippocampal Neurons,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,,main source,,,,,,DWW
62,AnK,ak,AnK,611984,CA1 (-)2223 quadrilaminar interneuron specific-3 (quad IS-3) neurons,"""Type III (IS-III) cells contain both CR [calretinin] and VIP [vasoactive intestinal polypeptide] and innervate mainly O-LM [oriens lacunosum-moleculare] cells.  The soma is located in str. pyramidale or radiatum with radial dendrites crossing most layers.  These cells target mainly O-LM cells.""","p55, mid","CA1 (-)2223 quadrilaminar interneuron specific-3 (quad IS-3) neurons

[Y:CA1:IS-III: S:CA1:SP]{#3}, 
[Y:CA1:IS-III: D:CA1:SLM_SR_SP_SO]{#4}, 
[Y:CA1:IS-III: A:CA1:SO]{#4}",Vida I,Morphology of Hippocampal Neurons,Hippocampal Microcircuits,2010, 978-1-4419-0995-4,,main source,,,,,,DWW
,NZ,,AnK,611986,"CA1 0113p-SUB 111 trilaminar horizontal-oriens retrohippocampal projecting-double projecting-oriens radiatum (TH-ORP-DP-OR) neurons, 
CA1 (-)0313-SUB 001 enkephalin-expressing (ENK) cells
CA1 (-)0333 bistratified cells-ivy (BiC-ivy)
CA1 (-)0012 basket cells-fast spiking perisomatic targeting interneurons (BC-FSPTI)
CA1 (-)0012 axo-axonic horizontal (AA horz) neurons
CA1 (-)2232 axo-axonic (AA) neurons
CA1 (-)2232 basket cells (BC)","""All GABAergic cells innervating pyramidal cells, except the axo-axonic cell,  also  make  synapses  with other interneurons,  which may form a few percent (basket cells, bistratified  cells) or up to half  (trilaminar  cell, enkephalin-expressing  cell) of their postsynaptic targets.""",p158 mid,"CA1 (-)0113p-SUB 111 trilaminar horizontal-oriens retrohippocampal projecting-double projecting-oriens radiatum (TH-ORP-DP-OR) neurons
<up to half of the postsynaptic contacts of trilaminar cells are other interneurons>

CA1 (-)0313-SUB 001 enkephalin-expressing (ENK) cells
<up to half of the targets of enkephalin-expressing cells are interneurons; the rest are pyramidal cells>

CA1 (-)0333 bistratified cells-ivy (BiC-ivy)
<bistratified cells synapse with interneurons>

CA1 (-)0012 basket cells-fast spiking perisomatic targeting interneurons (BC-FSPTI)
<basket cells innervate other GABAergic interneurons, which account for a few percent of their targets>

CA1 (-)0012 axo-axonic horizontal (AA horz) neurons
<axo-axonic cells do NOT innervate other GABAergic interneurons>

CA1 (-)2232 axo-axonic (AA) neurons
<axo-axonic cells do NOT connect with other interneurons>

CA1 (-)2232 basket cells (BC)
<basket cells innervate other GABAergic interneurons, which account for a few percent of their targets>",Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,main source,,,,,,,DWW
,NZ,,AnK,611988,CA1 2223 Quad IS-3,"""Three  types of  interneuron-specific GABAergic cell  were reported to innervate only other interneurons and to express  calretinin and/or VIP in the  CA1  area  (Freund  and  Buzsaki,  2006)  (Fig.  15.2). Their network state dependent firing patterns  are not known.""","p158, bot","CA1 (-)2223 quadrilaminar interneuron specific-3 (quad IS-3) neurons

<interneuron-specific GABAergic cells
innervate only other interneurons and
express calretinin and/or VIP>",Somogyi P,Chapter: Hippocampus: Intrinsic organisation,Handbook of Brain Microcircuits,2010,978-0195389883,main source,,,,,,,DWW
,JR,,JR,611990,"DG (-)2232 basket cells (BC), DG (+)0103 mossy cells (MC), DG (+)2201p-CA3 00110 granule cells (GC)","""Mossy fibers (granule cell axons) in the healthy rat dentate gyrus are primarily restricted to the hilus (97%), with few collaterals (3%) in the granule cell layer (Buckmaster and Dudek 1999). In addition to mossy cells (Acsady et al. 1998), mossy fibers were also shown to contact basket cells (Buckmaster and Schwartzkroin 1994; Geiger et al. 1997) and parvalbumin-positive interneurons (Blasco-Ibanez et al. 2000).""","p1580, right bot","DG (-)2232 basket cells (BC)

[Y:DG:basket:D:DG:H]{#4}
<@@ unknown @@>

<Buckmaster and Schwartzkroin, 1994, commentary>,
<Geiger et al., 1997, is in this packet>

DG (+)0103 mossy cells (MC)

[Y:DG:mossy:D:DG:H]{#4}

DG (+)2201p-CA3 00110 granule cells (GC)

[Y:DG:granule:A:DG:H]{#4},
<some A:SG>,

<Buckmaster (1999) is in this packet>,
<Acsady (1998) is in this packet>,
<Geiger (1997) is in this packet>,
<Blasco-Ibanez (2000) is in this packet>","Dyhrfjeld-Johnsen J, Santhakumar V, Morgan RJ, Huerta R, Tsimring L, Soltesz I",Topological determinants of epileptogenesis in large-scale structural and functional models of the dentate gyrus derived from experimental data.,Journal of Neurophysiology,2007,17093119,,,,,,,1,basket unknown
,JR,,JR,611992,"DG (-)2322 hilar commissural-associational pathway related (HICAP) neurons, DG (+)0103 mossy cells (MC), DG (+)2201p-CA3 00110 granule cells (GC)","""In the hilus [of the dentate gyrus], a single granule cell was shown to project to seven to 12 mossy cells, forming large complex mossy fiber boutons (Acsady et al. 1998), whereas an estimated 100-150 mossy fiber terminals target hilar interneurons with approximately one synapse per postsynaptic interneuron (Acsady et  al. 1998).  Gulyas et al. (1992) estimated that a single spiny CR[calretinin]-positive cell (presumed HIPP [hilar cells with axonal projections to the perforant path] cell) is contacted by about 9,000 granule cells.  With 12,000 HIPP cells and 1,000,000 GCs [granule cells], each granule cell is estimated to contact about 110 HIPP cells.  The remaining contacts were distributed among HICAP [hilar cells with axonal projections to the commissural-associational pathway] cells (40 contacts).""","p1580, right bot","DG (-)2322 hilar commissural-associational pathway related (HICAP) neurons

[Y:DG:HICAP:D:DG:H]{#3}

DG (+)0103 mossy cells (MC)

[Y:DG:mossy:D:DG:H]{#4}

DG (+)2201p-CA3 00110 granule cells (GC)

[Y:DG:granule:A:DG:H]{#3},

<Buckmaster (1999) and Blasco-Ibanez (2000)
have evidence for some A:SMi>,
<Acsady (1998) is in this packet>,
<Buckmaster (1999) is in this packet>","Dyhrfjeld-Johnsen J, Santhakumar V, Morgan RJ, Huerta R, Tsimring L, Soltesz I",Topological determinants of epileptogenesis in large-scale structural and functional models of the dentate gyrus derived from experimental data.,Journal of Neurophysiology,2007,17093119,,,,,,,1,DWW
,JR,,JR,611994,DG (+)0103 mossy cells (MC),"""A single filled [dentate gyrus] mossy cell axon was reported to make 35,000 synapses in the inner molecular layer (Buckmaster et al.1996; Wenzel et al. 1997).  Assuming a single synapse per postsynaptic cell, a single mossy cell is estimated to contact 30,000-35,000 granule cells. Of the 2,700 synapses made by a single [dentate] mossy cell axon in the hilus, about 40% (about 1,000 synapses) target gamma-amino butyric acid (GABA)-negative neurons (Wenzel et al. 1997). Because each mossy cell is estimated to make one to five synaptic contacts on a postsynaptic mossy cell (Buckmaster et al. 1996), we estimate that each mossy cell contacts about 350 other mossy cells. The remaining 60% of the [dentate] hilar mossy cell axons target GABA[gamma amino butyrica acid]-positive cells (Buckmaster et al. 1996; Wenzel et al. 1997), with no reports supporting mossy cell targeting of IS [interneuron selective] cells.  Assuming that there is no preferential target selectivity between HIPP [hilar cells with axonal projections to the perforant path] and HICAP [hilar cells with axonal projections to the commissural-associational pathway] cells, and that each postsynaptic hilar interneuron receives two synaptic contacts from a single mossy cell axon (Buckmaster et al. 1996), we estimated that each mossy cell contacted 600 HIPP and 200 HICAP cells. With very low mossy cell to interneuron connectivity in the inner molecular layer (Wenzel et al. 1997), we estimated that each mossy cells contacts five to ten basket and axo-axonic cells and nearly five MOPP [molecular layer cells with axonal projections to the perforant path] cells with somata in the inner molecular layer (Han et al. 1993).""","p1581, left mid","DG (+)0103 mossy cells (MC)

[Y:DG:mossy:A:DG:SMi_H]{#3},
<Buckmaster (1996) is in this packet>","Dyhrfjeld-Johnsen J, Santhakumar V, Morgan RJ, Huerta R, Tsimring L, Soltesz I",Topological determinants of epileptogenesis in large-scale structural and functional models of the dentate gyrus derived from experimental data.,Journal of Neurophysiology,2007,17093119,,,,,,,1,DWW
,JR,,JR,611996,"DG (-)2232 basket cells (BC), DG (-)2233 axo-axonic (AA) cells, DG (-)2322 hilar commissural-associational pathway related (HICAP) neurons, DG (-)3000 MOPP-neurogliaform (MOPP-NGF) cells","""The remaining 60% of the [dentate] hilar mossy cell axons target GABA[gamma amino butyrica acid]-positive cells (Buckmaster et al. 1996; Wenzel et al. 1997), with no reports supporting mossy cell targeting of IS [interneuron selective] cells.  Assuming that there is no preferential target selectivity between HIPP [hilar cells with axonal projections to the perforant path] and HICAP [hilar cells with axonal projections to the commissural-associational pathway] cells, and that each postsynaptic hilar interneuron receives two synaptic contacts from a single mossy cell axon (Buckmaster et al. 1996), we estimated that each mossy cell contacted 600 HIPP and 200 HICAP cells. With very low mossy cell to interneuron connectivity in the inner molecular layer (Wenzel et al. 1997), we estimated that each mossy cells contacts five to ten basket and axo-axonic cells and nearly five MOPP [molecular layer cells with axonal projections to the perforant path] cells with somata in the inner molecular layer (Han et al. 1993).""","p1581, left mid","DG (-)2232 basket cells (BC)

[Y:DG:basket:D:DG:SMi]{#4}
<@@ unknown @@>

DG (-)2233 axo-axonic (AA) cells 

[Y:DG:axo-axonic:D:DG:SMi]{#4}

DG (-)2322 hilar commissural-associational pathway related (HICAP) neurons

[Y:DG:HICAP:D:DG:H]{#4}

DG (-)3000 MOPP-neurogliaform (MOPP-NGF) cells

[Y:DG:MOPP:S:DG:SMi]{#3},
[Y:DG:MOPP:D:DG:SMi]{#4}","Dyhrfjeld-Johnsen J, Santhakumar V, Morgan RJ, Huerta R, Tsimring L, Soltesz I",Topological determinants of epileptogenesis in large-scale structural and functional models of the dentate gyrus derived from experimental data.,Journal of Neurophysiology,2007,17093119,,,,,,,1,basket unknown
,JR,,JR,611998,DG (-)2232 basket cells (BC),"""Roughly 1% of the 11,000 synapses made by a single basket cell axon in the granule cell layer of the dentate [gyrus] are onto other basket cells (Sik et al. 1997) with three to seven synapses per postsynaptic cell (Bartos et al. 2001).  Consequently, we estimated that each basket cell in the dentate gyrus contacted 35 other basket cells.""","p1581, left mid","DG (-)2232 basket cells (BC)

[Y:DG:basket:A:DG:SG]{#3}
<@@ unknown @@>

<Sik et al., 1997, is in this packet>,
<Bartos et al., 2001, is in this packet>,
<1% of contacts onto other basket cells>","Dyhrfjeld-Johnsen J, Santhakumar V, Morgan RJ, Huerta R, Tsimring L, Soltesz I",Topological determinants of epileptogenesis in large-scale structural and functional models of the dentate gyrus derived from experimental data.,Journal of Neurophysiology,2007,17093119,,,,,,,1,basket unknown
,JR,,JR,611999,DG 2233 axo-axonic (AA) cells,"""Most synapses made by [dentate gyrus] axo-axonic cell axons are thought to target granule cell axon initial segments (Halasy and Somogyi 1993), although  a  small  fraction  of  axon  collaterals  also  descend  into  the superficial and deep hilus (Freund and Buzsaki 1996; Han et al. 1993).""","p1581, right top","DG 2233 axo-axonic (AA) cells

<target axon initial segments of granule cells>,
[Y:DG:axo-axonic:A:DG:SG]{#4}","Dyhrfjeld-Johnsen J, Santhakumar V, Morgan RJ, Huerta R, Tsimring L, Soltesz I",Topological determinants of epileptogenesis in large-scale structural and functional models of the dentate gyrus derived from experimental data.,Journal of Neurophysiology,2007,17093119,,309,,,,,1,DWW
,JR,,JR,612000,DG (-)2233 axo-axonic (AA) cells,"""Because axo-axonic cells [in the dentate gyrus] primarily target the axon initial segment of non-GABA[gamma amino butyric acid]ergic cells (Freund and Buzsaki 1996; Halasy and Somogyi 1993), we assumed that these cells did not project to interneurons.""","p1581, right top","DG (-)2233 axo-axonic (AA) cells 

[Y:DG:axo-axonic:A:DG:SG]{#4}

<target axon initial segments of granule cells>","Dyhrfjeld-Johnsen J, Santhakumar V, Morgan RJ, Huerta R, Tsimring L, Soltesz I",Topological determinants of epileptogenesis in large-scale structural and functional models of the dentate gyrus derived from experimental data.,Journal of Neurophysiology,2007,17093119,,,,,,,1,DWW
,JR,,JR,612001,DG (-)2322 hilar commissural-associational pathway related (HICAP) neurons,"""Although the total axonal length of HICAP [hilar interneurons with axons in the commissural/associational pathway termination zone] cells [in the dentate gyrus] is only about half that of HIPP [hilar interneurons with axons in perforant-path termination zone] cells, the number of MOPP [molecular layer interneurons with axons in perforant-path termination zone] cells  targeted  was assumed to be the same (about 10-20) because the HICAP cell axons primarily project to the inner molecular layer where both cell bodies and proximal dendrites of MOPP cells are located (Han et al. 1993).""","p1582, left top","DG (-)2322 hilar commissural-associational pathway related (HICAP) neurons

[Y:DG:HICAP:A:DG:SMi]{#4}","Dyhrfjeld-Johnsen J, Santhakumar V, Morgan RJ, Huerta R, Tsimring L, Soltesz I",Topological determinants of epileptogenesis in large-scale structural and functional models of the dentate gyrus derived from experimental data.,Journal of Neurophysiology,2007,17093119,,,,,,,1,DWW
,JR,2,,612002,DG (+)2201p-CA3 00110 granule cells (GC),"""Plate 5.2.  Timm stained hippocampal sections from rat (A), guinea pig. . .  (C) European hedgehog. . . illustrating the distribution of intensely stained, black MF [mossy fiber] terminals [of dentate granule cells] in the different species, as well as other terminal fields and general organization.  Note species specific characteristics, like the ""end bulb'' at the terminal part of the MF layer in guinea pig (black asterisk, B) and the layering of the dentate hilus with MF terminal-free, intermediate or plexiforme sublayer in the same species (white asterisk, B), and MF projections into CA1 in some cats (arrows, C) and European hedgehog (D).""","p108, Plate 5.2","DG (+)2201p-CA3 00110 granule cells (GC)

[Y:DG:granule:A:CA3:SL_SP]{#1},
<European hedgehog has A:CA1:SP>","Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity","The Dentate Gyrus: A Comprehensive Guide to Structure, Function, and Clinical Implications",2007,17765713,,,,,,,1,DWW
,JR,,,612003,DG (+)2201p-CA3 00110 granule cells (GC),"""Plate 5.3.  Timm stained mouse hippocampal sections, illustrating strain differences in MFs [mossy fibers] terminal projections [of dentate granule cells] between BALB7C (A) and C57B mice...  (C).  BALB/c mice have no infrapyramidal MFs, but a short intrapyramidal bundle (black asterisk, A), compared to long infrapyramidal bundles in C57B mice (black asterisk, B).""","p109, Plate 5,3","DG (+)2201p-CA3 00110 granule cells (GC)

[Y:DG:granule:A:CA3:SL_SP]{#1}","Blaabjerg M, Zimmer J","The dentate mossy fibers: structural organization, development and plasticity","The Dentate Gyrus: A Comprehensive Guide to Structure, Function, and Clinical Implications",2007,17765713,,,,,,,1,DWW
