authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,type_mapping,packet
"Merrill DA, Chiba AA, Tuszynski MH",11559900,,,10.1002/cne.1327,,,445,456,Conservation of neuronal number and size in the entorhinal cortex of behaviorally characterized aged rats. ,2001 Oct 1,J Comp Neurol,438,,0
"Cope DW, Maccaferri G, Marton LF, Roberts JD, Cobden PM, Somogyi P",11784700,,,10.1016/S0306-4522(01)00440-7,,,63,80,Cholecystokinin-immunopositive basket and Schaffer collateral-associated interneurones target different domains of pyramidal cells in the CA1 area of the rat hippocampus,2002,Neuroscience,109,4028: CA1:SCA-SR-CB: CA1 Schaffer collateral-associated cells,1
"Pawelzik H, Hughes DI, Thomson AM",11807843,,,10.1002/cne.10118,,,346,367,Physiological and morphological diversity of immunocytochemically defined parvalbumin- and cholecystokinin-positive interneurones in CA1 of the adult rat hippocampus,2002 Feb 18,J Comp Neurol,443,"4000: CA1:PC: CA1 pyramidal cell ### 4003: CA1:QuadC: quadrilaminar ### 4015: CA1:SCA-ADI: CA1 CCK-IR trilaminar cell ### 4037: CA1:BC: CA1 basket PV, CA1 basket CCK ### 4036: CA1:AA: CA1 axo-axonic neuron ### 4026: CA1:BiC-ivy: CA1 bistratified cells, CA1 wide-arbour PV-IR basket cells ### 4028: CA1:SCA-SR-CB: CA1 CCK-IR Schaffer-associated cells ### 4035: CA1:TH-ORP-DP-OR: CA1 CCK-IR trilaminar ### 4039: CA1:BC-FSPTI: CA1 basket cell, CA1 CCK+ basket cell, CA1 horizontal basket cell ### 4033: CA1:CB-SOSO: CA1 SO-SO cells, CA1 CCK-IR SO-SO cells, CA1 CB-containing interneurons, CA1 type II cells",1
"Sadowski M, Lazarewicz JW, Jakubowska-Sadowska K, Wisniewski HM, Mossakowski MJ, Brown WT",11872264,,,10.1016/S0304-3940(01)02426-0,,,90,94,Long-term changes in calbindin D(28K) immunoreactivity in the rat hippocampus after cardiac arrest. ,2002 Mar 15,Neurosci Lett,321,,0
"Buckmaster PS, Yamawaki R, Zhang GF",11920713,,,10.1002/cne.10183,,,360,373,Axon arbors and synaptic connections of a vulnerable population of interneurons in the dentate gyrus in vivo,2002 Apr 15,J Comp Neurol,445,,0
"Losonczy A, Zhang L, Shigemoto R, Somogyi P, Nusser Z",12096061,PMC2290398,,10.1113/jphysiol.2002.020024,,1,193,210,Cell type dependence and variability in the short-term plasticity of EPSCs in identified mouse hippocampal interneurones,2002 Jul 1,J Physiol,542,4068: CA1:O-BiC: CA1 oriens-bistratified cells ### 4069: CA1:O-LM: CA1 O-LM cells ### 3005: CA2:wide_SO-SO: CA1 oriens-bistratified cells ### 4067: CA1:SO_O-LM: CA1 O-LM cells,1
"Jinno S, Kosaka T",12115690,,,10.1002/cne.10251,,,1,25,Patterns of expression of calcium binding proteins and neuronal nitric oxide synthase in different populations of hippocampal GABAergic neurons in mice,2002 Jul 15,J Comp Neurol,449,,0
"Jinno S, Kosaka T",12126884,,,10.1016/S0006-8993(02)02804-4,,,219,231,Immunocytochemical characterization of hippocamposeptal projecting GABAergic nonprincipal neurons in the mouse brain: a retrograde labeling study. ,2002 Aug 2,Brain Res,945,,0
"Hamam BN, Amaral DG, Alonso AA",12209840,,,10.1002/cne.10335,,,45,61,Morphological and electrophysiological characteristics of layer V neurons of the rat lateral entorhinal cortex,2002 Sep 9,J Comp Neurol,451,6085: EC:PC_V-DG: EC layer V horizontal cell ### 6021: EC:PC_V_sm: LEC layer V pyramidal cells ### 6077: EC:MPN_2_V: EC layer V polymorphic cells,1
"Seress L, Abraham H, Lin H, Totterdell S",12373367,,,10.1007/s00221-002-1242-2,,,38,44,Nitric oxide-containing pyramidal neurons of the subiculum innervate the CA1 area,2002 Nov,Exp Brain Res,147,5003: SUB:PC_NOS: SUB neuron-specific nitric oxide synthase-positive pyramidal neurons ### 5003: SUB:PC_NOS: SUB nNOS-positive pyramidal neurons,0
"Rapp PR, Deroche PS, Mao Y, Burwell RD",12379605,,,10.1093/cercor/12.11.1171,,,1171,1179,Neuron number in the parahippocampal region is preserved in aged rats with spatial learning deficits. ,2002 Nov,Cereb Cortex,12,,0
"Wang X, Lambert NA",12614688,,,10.1016/S0306-4522(02)00659-0,,,485,492,Membrane properties of identified lateral and medial perforant pathway projection neurons,2003,Neuroscience,117,,0
"van Groen T, Miettinen P, Kadish I",12625464,,,10.1002/hipo.10037,,,133,149,The entorhinal cortex of the mouse: organization of the projection to the hippocampal formation,2003,Hippocampus,13,,0
"Jinno S, Kosaka T",12746872,,,10.1002/cne.10700,,,333,349,Patterns of expression of neuropeptides in GABAergic nonprincipal neurons in the mouse hippocampus: Quantitative analysis with optical disector,2003 Jun 30,J Comp Neurol,461,,0
"Losonczy A, Biro AA, Nusser Z",14734812,PMC337058,,10.1073/pnas.0304752101,,1,1362,1367,Persistently active cannabinoid receptors mute a subpopulation of hippocampal interneurons,2004 Feb 3,Proc Natl Acad Sci U S A,101,2036: CA3:MFA-1: CA3 mossy fiber-associated interneuron,1
"van Haeften T, Baks-te-Bulte L, Goede PH, Wouterlood FG, Witter MP",14750656,,,10.1002/hipo.10144,,,943,952,Morphological and numerical analysis of synaptic interactions between neurons in deep and superficial layers of the entorhinal cortex of the rat,2003,Hippocampus,13,6002: EC:PC_V-DG-SUB: EC layer V pyramidal neuron ### 6079: EC:HI_V: EC layer V horizontal cells,1
"Somogyi J, Baude A, Omori Y, Shimizu H, El Mestikawy S, Fukaya M, Shigemoto R, Watanabe M, Somogyi P",14984406,,,10.1111/j.0953-816X.2003.03091.x,,,552,569,GABAergic basket cells expressing cholecystokinin contain vesicular glutamate transporter type 3 (VGLUT3) in their synaptic terminals in hippocampus and isocortex of the rat. ,2004 Feb,Eur J Neurosci,19,,0
"Jinno S, Kosaka T",15026120,,,10.1016/j.neuroscience.2004.01.027,,,797,808,Patterns of colocalization of neuronal nitric oxide synthase and somatostatin-like immunoreactivity in the mouse hippocampus: quantitative analysis with optical disector. ,2004,Neuroscience,124,,0
"Ganter P, Szucs P, Paulsen O, Somogyi P",15098728,,,10.1002/hipo.10170,,,232,243,Properties of horizontal axo-axonic cells in stratum oriens of the hippocampal CA1 area of rats in vitro,2004,Hippocampus,14,"4036: CA1:AA: CA1 axo-axonic cell ### 4038: CA1:AA_horz: CA1 axo-axonic cell, CA1 horizontal axo-axonic cell",1
"Matsuda S, Kobayashi Y, Ishizuka N",15140566,,,10.1016/j.neures.2004.03.002,,,241,252,A quantitative analysis of the laminar distribution of synaptic boutons in field CA3 of the rat hippocampus. ,2004 Jun,Neurosci Res,49,,0
"Santhakumar V, Aradi I, Soltesz I",15342722,,,10.1152/jn.00777.2004,,,437,453,Role of mossy fiber sprouting and mossy cell loss in hyperexcitability: a network model of the dentate gyrus incorporating cell types and axonal topography,2005 Jan,J Neurophysiol,93,,0
"Shi L, Argenta AE, Winseck AK, Brunso-Bechtold JK",15368530,,,10.1002/cne.20303,,,282,291,Stereological quantification of GAD-67-immunoreactive neurons and boutons in the hippocampus of middle-aged and old Fischer 344 x Brown Norway rats,2004 Oct 18,J Comp Neurol,478,,0
"Hajos N, Palhalmi J, Mann EO, Nemeth B, Paulsen O, Freund TF",15483131,,,10.1523/JNEUROSCI.2113-04.2004,,,9127,9137,Spike timing of distinct types of GABAergic interneuron during hippocampal gamma oscillations in vitro,2004 Oct 13,J Neurosci,24,2008: CA3:R-LM: CA3 RLM cell ### 2023: CA3:R-CB: CA3 radiatum neuron ### 2021: CA3:IS: CA3 IS cell,1
"Gloveli T, Dugladze T, Saha S, Monyer H, Heinemann U, Traub RD, Whittington MA, Buhl EH",15486016,PMC1665476,,10.1113/jphysiol.2004.073007,,1,131,147,Differential involvement of oriens/pyramidale interneurones in hippocampal network oscillations in vitro,2005 Jan 1,J Physiol,562,2009: CA3:O-LM: CA3 O-LM cell,1
Maccaferri G,15498801,PMC1665470,,10.1113/jphysiol.2004.077081,,1,73,80,Stratum oriens horizontal interneurone diversity and hippocampal network dynamics,2005 Jan 1,J Physiol,562,,0
"Somogyi P, Klausberger T",15539390,PMC1665488,,10.1113/jphysiol.2004.078915,,1,9,26,Defined types of cortical interneurone structure space and spike timing in the hippocampus,2005 Jan 1,J Physiol,562,"4000: CA1:PC: CA1 pyramidal cell ### 4004: CA1:PPA_proj: CA1 perforant-path-associated cell ### 4005: CA1:NGF-LM: CA1 neurogliaform cell ### 4006: CA1:PPA-SUB: CA1 perforant-path-associated cell ### 4037: CA1:BC: CA1 basket PV, CA1 basket CCK/VIP, CA1 basket CCK/VGLUT3 ### 4036: CA1:AA: CA1 axo-axonic neuron ### 4020: CA1:quad_IS-3: CA1 interneurone specific cell III, CA1 IS-III ### 4021: CA1:IS-2: CA1 interneuron specific II, CA1 IS-II ### 4023: CA1:BP: CA1 back-projection cell ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar",1
"Howard A, Tamas G, Soltesz I",15927687,,,10.1016/j.tins.2005.04.004,,,310,316,Lighting the chandelier: new vistas for axo-axonic cells,2005 Jun,Trends Neurosci,28,,0
"Price CJ, Cauli B, Kovacs ER, Kulik A, Lambolez B, Shigemoto R, Capogna M",16033887,,,10.1523/JNEUROSCI.1135-05.2005,,,6775,6786,Neurogliaform neurons form a novel inhibitory network in the hippocampal CA1 area,2005 Jul 20,J Neurosci,25,"4000: CA1:PC: CA1 pyramidal cell ### 4011: CA1:NGF_proj: CA1 neurogliaform cells, CA1 NG cells ### 4012: CA1:NGF: CA1 neurogliaform cells, CA1 NG cells",1
"Tahvildari B, Alonso A",16127693,,,10.1002/cne.20706,,,123,140,Morphological and electrophysiological properties of lateral entorhinal cortex layers II and III principal neurons,2005 Oct 17,J Comp Neurol,491,6082: EC:excitatory: LEC layer II multiform cells ### 6095: EC:HOBIPPY: LEC layer III pyramidal cells ### 6092: EC:PC_III: LEC layer III pyramidal cells ### 6017: EC:PC_III_sm: LEC layer III pyramidal cells,1
"Gloveli T, Dugladze T, Rotstein HG, Traub RD, Monyer H, Heinemann U, Whittington MA, Kopell NJ",16141320,PMC1201613,,10.1073/pnas.0506259102,,1,13295,13300,Orthogonal arrangement of rhythm-generating microcircuits in the hippocampus,2005 Sep 13,Proc Natl Acad Sci U S A,102,2009: CA3:O-LM: CA3 O-LM cell,1
"Miki T, Satriotomo I, Li HP, Matsumoto Y, Gu H, Yokoyama T, Lee KY, Bedi KS, Takeuchi Y",16158978,,,10.1111/j.1447-073x.2005.00121.x,,,153,162,Application of the physical disector to the central nervous system: estimation of the total number of neurons in subdivisions of the rat hippocampus,2005 Sep,Anat Sci Int,80,,0
"Klausberger T, Marton LF, ONeill JNeill J, Huck JH, Dalezios Y, Fuentealba P, Suen WY, Papp E, Kaneko T, Watanabe M, Csicsvari J, Somogyi P",16237182,,,10.1523/JNEUROSCI.3269-05.2005,,,9782,9793,Complementary roles of cholecystokinin- and parvalbumin-expressing GABAergic neurons in hippocampal network oscillations,2005 Oct 19,J Neurosci,25,4015: CA1:SCA-ADI: CA1 apical dendrite-innervating cells,1
"Ferraguti F, Klausberger T, Cobden P, Baude A, Roberts JD, Szucs P, Kinoshita A, Shigemoto R, Somogyi P, Dalezios Y",16280590,,,10.1523/JNEUROSCI.2547-05.2005,,,10520,10536,Metabotropic glutamate receptor 8-expressing nerve terminals target subsets of GABAergic neurons in the hippocampus,2005 Nov 9,J Neurosci,25,4035: CA1:TH-ORP-DP-OR: CA1 trilaminar cell,1
"Kumar SS, Buckmaster PS",16641241,,,10.1523/JNEUROSCI.0064-06.2006,,,4613,4623,"Hyperexcitability, interneurons, and loss of GABAergic synapses in entorhinal cortex in a model of temporal lobe epilepsy",2006 Apr 26,J Neurosci,26,6040: EC:MPI_1_III: EC type I cells ### 6047: EC:MPI_2_III: EC layer III type II interneurons,1
"Poolos NP, Bullis JB, Roth MK",16870744,,,10.1523/JNEUROSCI.2069-06.2006,,,7995,8003,Modulation of h-channels in hippocampal pyramidal neurons by p38 mitogen-activated protein kinase,2006 Jul 26,J Neurosci,26,"4054: CA1:PLP-RGC: CA1 pyramidal-like principal neuron, CA1 PLP neuron",1
Witter MP,16876886,,,10.1016/j.bbr.2006.06.022,,,251,264,Connections of the subiculum of the rat: topography in relation to columnar and laminar organization,2006 Nov 11,Behav Brain Res,174,5001: SUB:PC-EC: subicular pyramidal cell ### 5005: SUB:PC-CA1: subicular pyramidal cell,1
"Jinno S, Kosaka T",16930755,,,10.1016/j.neures.2006.07.007,,,229,245,Cellular architecture of the mouse hippocampus: a quantitative aspect of chemically defined GABAergic neurons with stereology,2006 Nov,Neurosci Res,56,,0
"de la Prida LM, Totterdell S, Gigg J, Miles R",17016818,,,10.1002/hipo.20220,,,916,923,The subiculum comes of age,2006,Hippocampus,16,,0
"Dyhrfjeld-Johnsen J, Santhakumar V, Morgan RJ, Huerta R, Tsimring L, Soltesz I",17093119,,,10.1152/jn.00950.2006,,,1566,1587,Topological determinants of epileptogenesis in large-scale structural and functional models of the dentate gyrus derived from experimental data,2007 Feb,J Neurophysiol,97,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells ### 1033: DG:BC: Dentate gyrus basket cells,1
"Baude A, Bleasdale C, Dalezios Y, Somogyi P, Klausberger T",17122364,,,10.1093/cercor/bhl117,,,2094,2107,"Immunoreactivity for the GABAA receptor alpha1 subunit, somatostatin and Connexin36 distinguishes axoaxonic, basket, and bistratified interneurons of the rat hippocampus",2007 Sep,Cereb Cortex,17,,0
"Bullis JB, Jones TD, Poolos NP",17185334,PMC2075407,,10.1113/jphysiol.2006.123836,,1,431,443,Reversed somatodendritic I(h) gradient in a class of rat hippocampal neurons with pyramidal morphology,2007 Mar 1,J Physiol,579,"4054: CA1:PLP-RGC: CA1 pyramidal-like principal neuron, CA1 PLP neuron",1
"Hosseini-Sharifabad M, Nyengaard JR",17368561,,,10.1016/j.jneumeth.2007.01.009,,,206,214,Design-based estimation of neuronal number and individual neuronal volume in the rat hippocampus,2007 May 15,J Neurosci Methods,162,1000: DG:GC: Dentate gyrus granule cell,1
"Mercer A, Trigg HL, Thomson AM",17611285,,,10.1523/JNEUROSCI.1829-07.2007,,,7329,7338,Characterization of neurons in the CA2 subfield of the adult rat hippocampus,2007 Jul 4,J Neurosci,27,"3000: CA2:PC: CA2 pyramidal cell, CA2 pyramid ### 3007: CA2:BC_proj: CA2 basket cell with wide arbor ### 3006: CA2:BC: CA2 basket cell with wide arbor ### 3003: CA2:BiC: CA2 bistratified cell",1
"Tort AB, Rotstein HG, Dugladze T, Gloveli T, Kopell NJ",17679692,PMC1948921,,10.1073/pnas.0705708104,,1,13490,13495,On the formation of gamma-coherent cell assemblies by oriens lacunosum-moleculare interneurons in the hippocampus,2007 Aug 14,Proc Natl Acad Sci U S A,104,2009: CA3:O-LM: CA3 O-LM cell,1
"Jinno S, Klausberger T, Marton LF, Dalezios Y, Roberts JD, Fuentealba P, Bushong EA, Henze D, Buzsaki G, Somogyi P",17699661,PMC2270609,NIHMSID41442,10.1523/JNEUROSCI.1847-07.2007,,1,8790,8804,Neuronal diversity in GABAergic long-range projections from the hippocampus,2007 Aug 15,J Neurosci,27,"4035: CA1:TH-ORP-DP-OR: CA1 oriens-retrohippocampal cells, CA1 oriens-retrohippocampal projection neurons, CA1 double-projection cells ### 2025: CA3:DP: CA3 radial trilaminar cells ### 4043: CA1:RRP-SUB: cell T74b radiatum retrohippocampal ### 4042: CA1:RRP-CA3: cell T100c radiatum retrohippocampal",1
"Amaral DG, Scharfman HE, Lavenex P",17765709,PMC2492885,NIHMSID58790,10.1016/S0079-6123(07)63001-5,,1,3,22,The dentate gyrus: fundamental neuroanatomical organization (dentate gyrus for dummies),2007,Prog Brain Res,163,"1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells, Dentate gyrus chandelier cells ### 1033: DG:BC: Dentate gyrus pyramidal basket cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell, Dentate gryus long-spined multipolar cell, Dentate gyrus long-spined hilar somatostatin-positive GABAergic interneuron ### 2000: CA3:PC-ab: CA3 pyramidal neuron",1
Seress L,17765710,,,10.1016/S0079-6123(07)63002-7,,,23,41,"Comparative anatomy of the hippocampal dentate gyrus in adult and developing rodents, non-human primates and humans",2007,Prog Brain Res,163,1002: DG:MC: Dentate gyrus mossy cell ### 2000: CA3:PC-ab: CA3 pyramidal cell,1
Witter MP,17765711,,,10.1016/S0079-6123(07)63003-9,,,43,61,The perforant path: projections from the entorhinal cortex to the dentate gyrus,2007,Prog Brain Res,163,,0
"Leranth C, Hajszan T",17765712,PMC1989689,NIHMSID14214,10.1016/S0079-6123(07)63004-0,,1,63,84,Extrinsic afferent systems to the dentate gyrus,2007,Prog Brain Res,163,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 2000: CA3:PC-ab: CA3 pyramidal cell,1
"Blaabjerg M, Zimmer J",17765713,,,10.1016/S0079-6123(07)63005-2,,,85,107,"The dentate mossy fibers: structural organization, development and plasticity",2007,Prog Brain Res,163,1000: DG:GC: Dentate gyrus granule cell,1
"Jaffe DB, Gutierrez R",17765714,,,10.1016/S0079-6123(07)63006-4,,,109,132,Mossy fiber synaptic transmission: communication from the dentate gyrus to area CA3,2007,Prog Brain Res,163,2000: CA3:PC-ab: CA3 pyramidal cell,1
"Ribak CE, Shapiro LA",17765717,,,10.1016/S0079-6123(07)63009-X,,,155,166,Ultrastructure and synaptic connectivity of cell types in the adult rat dentate gyrus,2007,Prog Brain Res,163,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1010: DG:AA: Dentate gyrus chandelier cells ### 1033: DG:BC: Dentate gyrus basket cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell ### 1014: DG:fusiform: Dg fusiform cells,1
Houser CR,17765721,,,10.1016/S0079-6123(07)63013-1,,,217,232,"Interneurons of the dentate gyrus: an overview of cell types, terminal fields and neurochemical identity",2007,Prog Brain Res,163,"1000: DG:GC: Dentate gyrus granule cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells, Dentate gyrus chandelier cells ### 1033: DG:BC: Dentate gyrus basket cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell",1
Scharfman HE,17765742,PMC1986638,NIHMSID22757,10.1016/S0079-6123(07)63034-9,,1,627,637,"The CA3 ""backprojection"" to the dentate gyrus",2007,Prog Brain Res,163,2004: CA3:PC-c: CA3c pyramidal cell,1
"Morgan RJ, Santhakumar V, Soltesz I",17765743,,,10.1016/S0079-6123(07)63035-0,,,639,658,Modeling the dentate gyrus,2007,Prog Brain Res,163,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells ### 1033: DG:BC: Dentate gyrus basket cells,1
"Rollenhagen A, Satzler K, Rodriguez EP, Jonas P, Frotscher M, Lubke JH",17898215,,,10.1523/JNEUROSCI.1946-07.2007,,,10434,10444,Structural determinants of transmission at large hippocampal mossy fiber synapses,2007 Sep 26,J Neurosci,27,,0
"Williams PA, Larimer P, Gao Y, Strowbridge BW",18077687,,,10.1523/JNEUROSCI.4053-07.2007,,,13756,13761,Semilunar granule cells: glutamatergic neurons in the rat dentate gyrus with axon collaterals in the inner molecular layer,2007 Dec 12,J Neurosci,27,1000: DG:GC: Dentate gyrus granule cell ### 1001: DG:SGC: Dentate gyrus semilunar granule cell ### 1002: DG:MC: Dentate gyrus mossy cell,1
"Fuentealba P, Begum R, Capogna M, Jinno S, Marton LF, Csicsvari J, Thomson A, Somogyi P, Klausberger T",18367092,,,10.1016/j.neuron.2008.01.034,,,917,929,"Ivy cells: a population of nitric-oxide-producing, slow-spiking GABAergic neurons and their involvement in hippocampal network activity",2008 Mar 27,Neuron,57,4012: CA1:NGF: CA1 neurogliaform cells ### 4026: CA1:BiC-ivy: CA1 ivy cells,1
"Knopp A, Frahm C, Fidzinski P, Witte OW, Behr J",18504292,,,10.1093/brain/awn095,,,1516,1527,Loss of GABAergic neurons in the subiculum and its functional implications in temporal lobe epilepsy,2008 Jun,Brain,131,,0
"Cox DJ, Racca C, LeBeau FE",18546278,,,10.1002/cne.21758,,,551,565,Beta-adrenergic receptors are differentially expressed in distinct interneuron subtypes in the rat hippocampus. ,2008 Aug 20,J Comp Neurol,509,,0
"Smith AM, Pappalardo D, Chen WJ",18558471,,NIHMSID75292,10.1016/j.ntt.2008.05.001,,1,495,502,Estimation of neuronal numbers in rat hippocampus following neonatal amphetamine exposure: a stereology study,2008 Nov-Dec,Neurotoxicol Teratol,30,,0
"Price CJ, Scott R, Rusakov DA, Capogna M",18596171,PMC2685170,,10.1523/JNEUROSCI.4673-07.2008,,1,6974,6982,GABA(B) receptor modulation of feedforward inhibition through hippocampal neurogliaform cells,2008 Jul 2,J Neurosci,28,"4012: CA1:NGF: CA1 neurogliaform cells, CA1 NGFC cells",1
"Klausberger T, Somogyi P",18599766,,,10.1126/science.1149381,,,53,57,Neuronal diversity and temporal dynamics: the unity of hippocampal circuit operations,2008 Jul 4,Science,321,"4000: CA1:PC: CA1 pyramidal cell ### 4004: CA1:PPA_proj: CA1 lacunosum-moleculare-radiatum perforant path-associated cell ### 4006: CA1:PPA-SUB: CA1 lacunosum-moleculare-radiatum perforant path-associated cell ### 4012: CA1:NGF: CA1 neurogliaform cells ### 4037: CA1:BC: CA1 basket PV, CA1 basket CCK/VIP, CA1 basket CCK/VGLUT3 ### 4036: CA1:AA: CA1 axo-axonic neuron ### 4020: CA1:quad_IS-3: CA1 interneuron-specific-III ### 4021: CA1:IS-2: CA1 interneuron-specific-II ### 4023: CA1:BP: CA1 back-projection cell ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells, CA1 ivy cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar ### 4007: CA1:CH: CA1 cholinergic neurons ### 4014: CA1:lg_CB: CA1 large calbindin neuron",1
"Takacs VT, Freund TF, Gulyas AI",18662340,,,10.1111/j.1460-9568.2008.06319.x,,,148,164,Types and synaptic connections of hippocampal inhibitory neurons reciprocally connected with the medial septum,2008 Jul,Eur J Neurosci,28,,0
"Canto CB, Wouterlood FG, Witter MP",18769556,PMC2526269,,10.1155/2008/381243,,1,,,What does the anatomical organization of the entorhinal cortex tell us?,2008,Neural Plast,2008,"6082: EC:excitatory: MEC layer II stellate cells, LEC layer II pyramidal cells ### 6003: EC:SC_II: MEC layer II stellate cells ### 6095: EC:HOBIPPY: EC small layer V pyramidal cell, EC large layer V pyramidal cell ### 6085: EC:PC_V-DG: EC layer V horizontal cell ### 6021: EC:PC_V_sm: EC layer V small pyramidal cells ### 6086: EC:MPN_V-VI: EC layer V multipolar neuron, entorhinal cortex layer VI multipolar neuron, medial entorhinal cortex layer VI pyramidal cell ### 6053: EC:MPI-BC_II: EC layer II MPNs, EC layer II fast-spiking basket-like cells, EC layer II basket cells ### 6048: EC:AA_II: EC layer II chandelier cells, EC layer II axo-axonic cells ### 6087: EC:PL-BPN_III: EC layer III pyramidal looking interneurons, EC layer III PLIs, EC layer III bipolar cells ### 6049: EC:MPI_3_III: EC layer III principal MPNs ### 6050: EC:GN_IV-V: EC layer V globular cells ### 6072: EC:PC_III_nonspiny: EC layer III nonspiny pyramidal cells ### 6072: EC:PC_III_nonspiny: EC layer III NSPCs ### 6076: EC:AA_II-III: EC layer II chandelier cells; EC layer II axo-axonic cells",1
"Wouterlood FG, Boekel AJ, Aliane V, Belien JA, Uylings HB, Witter MP",18789377,,,10.1016/j.neuroscience.2008.08.023,,,653,661,Contacts between medial and lateral perforant pathway fibers and parvalbumin expressing neurons in the subiculum of the rat. ,2008 Oct 15,Neuroscience,156,5006: SUB:PV: SUB parvalbumin positive interneurons,0
"Fuentealba P, Tomioka R, Dalezios Y, Marton LF, Studer M, Rockland K, Klausberger T, Somogyi P",18829959,,,10.1523/JNEUROSCI.2052-08.2008,,,10017,10022,Rhythmically active enkephalin-expressing GABAergic cells in the CA1 area of the hippocampus project to the subiculum and preferentially innervate interneurons,2008 Oct 1,J Neurosci,28,"4041: CA1:ENK: CA1 ENK-expressing cells, CA1 ENK-immunopositive cells, CA1 ENK-expressing interneuron, P30b",1
"Larimer P, Strowbridge BW",19020015,,,10.1523/JNEUROSCI.3612-08.2008,,,12212,12223,Nonrandom local circuits in the dentate gyrus,2008 Nov 19,J Neurosci,28,,0
"Seress L, Frotscher M",19189715,,,10.1002/cne.902930208,,,253,267,Morphological variability is a characteristic feature of granule cells in the primate fascia dentata: a combined Golgi/electron microscope study,1990 Mar 8,J Comp Neurol,293,,0
"van Strien NM, Cappaert NL, Witter MP",19300446,,,10.1038/nrn2614,,,272,282,The anatomy of memory: an interactive overview of the parahippocampal-hippocampal network,2009 Apr,Nat Rev Neurosci,10,,0
"Szabadics J, Soltesz I",19339618,,,10.1523/JNEUROSCI.5390-08.2009,,,4239,4251,Functional specificity of mossy fiber innervation of GABAergic cells in the hippocampus,2009 Apr 1,J Neurosci,29,2000: CA3:PC-ab: CA3 pyramidal cell ### 2030: CA3:BiC-ivy: CA3 ivy cell ### 2036: CA3:MFA-1: CA3 mossy fiber-associated neuron ### 2019: CA3:SLC: CA3 spiny lucidum cell,1
"Fitting S, Booze RM, Hasselrot U, Mactutus CF",19489004,,,,,,469,480,Dose-dependent long-term effects of Tat in the rat hippocampal formation: a design-based stereological study. ,2010 Apr,Hippocampus,20,,0
"Ascoli GA, Brown KM, Calixto E, Card JP, Galvan EJ, Perez-Rosello T, Barrionuevo G",19496174,PMC2827149,NIHMSID108801,10.1002/cne.22082,,1,677,695,Quantitative morphometry of electrophysiologically identified CA3b interneurons reveals robust local geometry and distinct cell classes,2009 Aug 20,J Comp Neurol,515,"2005: CA3:LM-R: CA3 L-M interneuron, CA3 R cell, CA3 R interneuron ### 4005: CA1:NGF-LM: CA1 L-M interneuron",1
"Jinno S, Kosaka T",19655319,,,,,,829,840,Stereological estimation of numerical densities of glutamatergic principal neurons in the mouse hippocampus,2010 Jul,Hippocampus,20,,0
Klausberger T,19735288,,,10.1111/j.1460-9568.2009.06913.x,,,947,957,GABAergic interneurons targeting dendrites of pyramidal cells in the CA1 area of the hippocampus,2009 Sep,Eur J Neurosci,30,"4000: CA1:PC: CA1 pyramidal cell ### 4004: CA1:PPA_proj: CA1 perforant-path-associated cell ### 4006: CA1:PPA-SUB: CA1 perforant-path-associated cell ### 4012: CA1:NGF: CA1 neurogliaform cells ### 4023: CA1:BP: CA1 backprojection cell ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells, CA1 ivy cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar, CA1 oriens retrohippocampal projection cells, CA1 double projection cells",1
